t;pais;tipo_aplicacion;descargas
0;Argentina;informativa;54,153052
0,03003;Argentina;informativa;57,084004
0,06006;Argentina;informativa;54,652457
0,09009;Argentina;informativa;55,676426
0,12012;Argentina;informativa;55,136975
0,15015;Argentina;informativa;54,427231
0,18018;Argentina;informativa;54,928746
0,21021;Argentina;informativa;54,652525
0,24024;Argentina;informativa;54,604081
0,27027;Argentina;informativa;55,396583
0,3003;Argentina;informativa;55,602976
0,33033;Argentina;informativa;54,819574
0,36036;Argentina;informativa;53,070043
0,39039;Argentina;informativa;55,388027
0,42042;Argentina;informativa;54,722502
0,45045;Argentina;informativa;55,200045
0,48048;Argentina;informativa;58,5032
0,510511;Argentina;informativa;55,019928
0,540541;Argentina;informativa;54,647951
0,570571;Argentina;informativa;56,789442
0,600601;Argentina;informativa;57,165848
0,630631;Argentina;informativa;56,301377
0,660661;Argentina;informativa;56,047303
0,690691;Argentina;informativa;57,550132
0,720721;Argentina;informativa;55,7509
0,750751;Argentina;informativa;55,320985
0,780781;Argentina;informativa;58,014346
0,810811;Argentina;informativa;53,024421
0,840841;Argentina;informativa;54,760609
0,870871;Argentina;informativa;55,842286
0,900901;Argentina;informativa;55,175604
0,930931;Argentina;informativa;53,558538
0,960961;Argentina;informativa;55,197166
0,990991;Argentina;informativa;57,401735
1,021021;Argentina;informativa;53,351869
1,051051;Argentina;informativa;49,98158
1,081081;Argentina;informativa;56,267747
1,111111;Argentina;informativa;55,922312
1,141141;Argentina;informativa;54,584265
1,171171;Argentina;informativa;53,355222
1,201201;Argentina;informativa;55,419224
1,231231;Argentina;informativa;55,211328
1,261261;Argentina;informativa;58,239318
1,291291;Argentina;informativa;55,374121
1,321321;Argentina;informativa;55,8732
1,351351;Argentina;informativa;56,2139
1,381381;Argentina;informativa;56,843002
1,411411;Argentina;informativa;56,732413
1,441441;Argentina;informativa;57,177348
1,471471;Argentina;informativa;56,688728
1,501502;Argentina;informativa;57,859008
1,531532;Argentina;informativa;58,174903
1,561562;Argentina;informativa;57,218622
1,591592;Argentina;informativa;55,397419
1,621622;Argentina;informativa;57,02024
1,651652;Argentina;informativa;55,858773
1,681682;Argentina;informativa;60,470849
1,711712;Argentina;informativa;54,312818
1,741742;Argentina;informativa;59,302903
1,771772;Argentina;informativa;58,749881
1,801802;Argentina;informativa;56,811469
1,831832;Argentina;informativa;59,517418
1,861862;Argentina;informativa;60,073864
1,891892;Argentina;informativa;57,707609
1,921922;Argentina;informativa;61,390976
1,951952;Argentina;informativa;58,947985
1,981982;Argentina;informativa;54,200137
2,012012;Argentina;informativa;55,373436
2,042042;Argentina;informativa;58,270046
2,072072;Argentina;informativa;57,196984
2,102102;Argentina;informativa;58,546635
2,132132;Argentina;informativa;57,15982
2,162162;Argentina;informativa;56,42661
2,192192;Argentina;informativa;58,90187
2,222222;Argentina;informativa;58,893651
2,252252;Argentina;informativa;58,521898
2,282282;Argentina;informativa;57,598986
2,312312;Argentina;informativa;60,157337
2,342342;Argentina;informativa;58,488438
2,372372;Argentina;informativa;58,396724
2,402402;Argentina;informativa;63,988566
2,432432;Argentina;informativa;53,700987
2,462462;Argentina;informativa;55,632479
2,492492;Argentina;informativa;53,758253
2,522523;Argentina;informativa;58,373551
2,552553;Argentina;informativa;54,56078
2,582583;Argentina;informativa;57,935789
2,612613;Argentina;informativa;61,086717
2,642643;Argentina;informativa;60,371341
2,672673;Argentina;informativa;57,446213
2,702703;Argentina;informativa;57,300009
2,732733;Argentina;informativa;58,451489
2,762763;Argentina;informativa;60,301013
2,792793;Argentina;informativa;58,971372
2,822823;Argentina;informativa;59,994361
2,852853;Argentina;informativa;60,801073
2,882883;Argentina;informativa;57,205874
2,912913;Argentina;informativa;60,046308
2,942943;Argentina;informativa;60,376525
2,972973;Argentina;informativa;58,28578
3,003003;Argentina;informativa;61,366783
3,033033;Argentina;informativa;59,028307
3,063063;Argentina;informativa;59,809108
3,093093;Argentina;informativa;59,149312
3,123123;Argentina;informativa;60,159853
3,153153;Argentina;informativa;58,071592
3,183183;Argentina;informativa;57,23548
3,213213;Argentina;informativa;58,904865
3,243243;Argentina;informativa;58,079125
3,273273;Argentina;informativa;58,319205
3,303303;Argentina;informativa;59,915866
3,333333;Argentina;informativa;61,062757
3,363363;Argentina;informativa;60,09497
3,393393;Argentina;informativa;57,286319
3,423423;Argentina;informativa;59,60935
3,453453;Argentina;informativa;61,469201
3,483483;Argentina;informativa;60,198566
3,513514;Argentina;informativa;59,65954
3,543544;Argentina;informativa;59,188023
3,573574;Argentina;informativa;61,543073
3,603604;Argentina;informativa;58,857923
3,633634;Argentina;informativa;58,949549
3,663664;Argentina;informativa;60,803003
3,693694;Argentina;informativa;62,277673
3,723724;Argentina;informativa;57,522311
3,753754;Argentina;informativa;60,664546
